English,German
one man on a lift and another man on the roof of the building watching,ein mann auf einer hebevorrichtung und ein anderer mann auf dem dach des gebäudes schauen
young man in torn pants sitting on the ledge of a window playing a violin,ein junger mann in zerrissenen hosen sitzt auf einer fensterbank und spielt geige
a young girl dumps confetti onto a woman &apos;s head as she smiles,ein kleines mädchen wirft konfetti auf den kopf einer frau als sie lächelt
a dark-skinned man in white shirts and a black sleeveless shirt flips his skateboard on a cement surface surrounded by tall buildings and palm trees,ein dunkelhäutiger mann in weißen shorts und einem ärmellosen schwarzen shirt macht mit seinem skateboard einen flip auf einer betonfläche die von großen gebäuden und palmen umgeben ist
new york yankee &apos;s baseball player hitting a baseball a home plate,ein baseballspieler der new york yankees trifft mit dem ball die home plate
an adult woman and a young boy walking through a city in the evening,eine erwachsene frau und ein kleiner junge gehen abends durch eine stadt
a group of men and women are in wedding attire,eine gruppe von männern und frauen in hochzeitskleidung
boy in a helmet riding his bike in a marathon,junge mit helm fährt bei einem marathon auf seinem fahrrad
a black and white dog is jumping through a field of brown grass,ein hund mit schwarz-weißem fell springt auf einem feld mit braunem gras umher
three people wearing parachutes are free-falling together through the sky,drei personen mit fallschirmen fliegen zusammen im freien fall durch den himmel
a snowboarder takes a ramp made of snow while others watch,ein snowboardfahrer fährt auf eine rampe aus schnee während andere ihm dabei zuschauen
a wet child standing in water,ein nasses kind steht im wasser
singer avril lavigne is crouched on one knee holding a microphone,die sängerin avril lavigne kniet auf einem knie und hält ein mikrofon
a man doing maintenance on the railroad tracks,ein mann macht wartungsarbeiten auf den bahngleisen
it looks like choir practice in an older ornate church,es sieht aus wie eine chorprobe in einer älteren prunkvollen kirche
a man who is wearing the same colors as the bike is riding down the street,ein mann in denselben farben wie das bike fährt die straße entlang
an older man with a plaid shirt is looking through a microscope,ein älterer mann mit einem karierten oberteil schaut durch ein mikroskop
a golden dog is looking at a blue and yellow toy on the grass,ein goldener hund guckt sich ein blau und gelbes spielzeug auf dem rasen an
a man in a green sweater is attempting to cut something in a kitchen,ein mann in einem grünen pullover versucht etwas in einer küche zu schneiden
seven firefighters are looking up at a building,sieben feuerwehrleute schauen an einem gebäude hoch
workers pull a template off a truck,arbeiter ziehen eine schablone von einem lkw herunter
a basketball player in black jumps while another in white attempts to block,ein basketballspieler in schwarzer kleidung springt und ein anderer in weißer kleidung versucht ihn zu blocken
this is our break fast time and we are posing for the photo,das ist unsere frühstückszeit und wir posieren für das foto
the man in the dark suit is doing a talk radio show,der mann im dunklen anzug macht eine talkshow im radio
guys drinking in a crowded pub just chatting and having a beer,männer in einer überfüllten kneipe die sich unterhalten und bier trinken
a little boy in a yellow shirt walking on stones,ein kleiner junge in einem gelben hemd geht auf steinen
three children writing intently in a classroom,drei kinder in einem klassenraum schreiben konzentriert
three people sitting in a room with a bike and a scooter,drei menschen sitzen in einem raum mit einem fahrrad und einem motorroller
a waitress stands behind a counter full of cakes,eine kellnerin steht hinter einer theke voll mit kuchen
this woman is riding her bike in her underwear,diese frau fährt in unterwäsche fahrrad
an oriental woman wearing a black tunic leggings and boots stands outside a produce store,eine orientalische frau trägt eine schwarze tunika leggins und stiefel und steht vor einem wochenmarkt
a man holds a microphone to his mouth backlit by green lights,ein mann hält ein mikrofon an den mund und wird von hinten grün beleuchtet
two country musicians jamming it up,zwei country-musiker lassen es fetzen
a young gentlemen with a blue tie talking into a microphone,ein junger herr mit blauer krawatte der in ein mikrofon spricht
a girl holds onto a rope above the water,ein mädchen hält sich an einem seil über dem wasser fest
the field hockey player takes a digger in a match,der hockey-spieler nimmt einen digger in einem spiel
man in black on microphone in band,ein mann in schwarz am mikrofon in einer band
a girl in a wheelchair with a red and white shirt has red dots all over her face,ein mädchen in einem rollstuhl hat ein rot und weißes hemd an und rote punkte überall im gesicht
a woman with dark hair is sitting on stone steps and looking forward,eine dunkelhaarige frau sitzt auf steinernen stufen und schaut nach vorn
he &apos;s running his heart out for the love of his life,für die liebe seines lebens läuft er so schnell er kann
a group of construction workers are walking,eine gruppe gehender bauarbeiter
an old man behind him on glass is many political advertisements,ein alter mann hinter dem fensterscheiben mit vielen wahlwerbeplakaten zu sehen sind
a dog chasing a pink ball,ein hund jagt einen pinkfarbenen ball
a man is rock climbing at sunset,ein mann bei sonnenuntergang beim bergsteigen
a woman in a trench coat hailing a taxi for a ride,eine frau in einem trenchcoat hält ein taxi an
a man is driving a motorcycle in the dirt near bushes,ein mann fährt ein motorrad durch schmutz in der nähe von büschen
a boy in a green shirt is doing a chin up,ein junge in einem grünen oberteil macht einen klimmzug
women prepare fried food at an outdoor market,frauen bereiten auf einem markt im freien gebratene speisen zu
a woman with a purple shirt wearing sunglasses laying on her bookbag,eine frau mit einer lila bluse und sonnenbrille liegt auf ihrer aktentasche
a woman with short blond-hair holds her violin and bow,eine frau mit kurzen blonden haaren hält geige und bogen
a group of young men sit on rock and look in the distance,eine gruppe junger männer sitzt auf felsen und schaut in die ferne
grant prepared to hit his golf ball while his caddy and scorekeeper waited for him,er bereitet sich darauf vor seinen golfball zu schlagen während sein caddie und sekretär auf ihn warten
two children are sitting outside at a table with popcorn all over it,zwei kinder sitzen draußen an einem tisch der voll mit popcorn ist
a man dressed in all white clothing stands in front of a gray wall his arms crossed,ein mann völlig weiß bekleidet steht mit verschränkten armen vor einer grauen wand
there is a man fishing on a bridge,da angelt ein mann auf einer brücke
a person doing a skateboard flip next to a black trashcan,eine person neben einer schwarzen mülltonne die einen skateboard-flip macht
a bartender is shaking up a drink,ein barkeeper schüttelt ein getränk
a man surfs over a huge wave in the ocean,ein mann surft auf einer großen welle im meer
a man in old costume leaps across an english street besides a peugeot,ein mann in einer alten tracht hüprft neben einem peugeot über eine englische straße
a black-haired female guitarist and a male drummer are playing in a large tent,eine schwarzhaarige gitarristin und ein schlagzeuger spielen in einem großen zelt
bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs,ein bärtiger schwarz gekleideter künstler zeigt sein talent beim bogenförmigen schwingen von feuerseilen
a female chef is showing off her carved fruits,eine köchin präsentiert das von ihr geschnitzte obst
a teenager and a younger kid are talking at a gathering in a park,ein teenager und ein jüngeres kind unterhalten sich bei einer versammlung im park
rider in red racing a mini red race car that rides very close to the ground,ein rot gekleideter fahrer fährt in einem kleinen roten knapp über dem boden liegenden rennwagen
